property_type;place_name;state_name;lat;lon;price;currency;price_aprox_local_currency;price_aprox_usd;surface_total_in_m2;surface_covered_in_m2;price_usd_per_m2;price_per_m2;floor;rooms;expenses;properati_url;description;title
apartment;Palermo;Capital Federal;-34.5927419;-58.406147;155000.0;USD;2734897.5;155000.0;43.0;37.0;3604.6511627906975;4189.189189189189;;1.0;;http://www.properati.com.ar/15fhh_venta_departamento_palermo_balcon_gimnasio_hidromasaje_piscina_sum_terraza_luminoso_garage_amenities_estrenar_subte-linea-d_subte-linea-h_f-gk-propiedades_7ej;Excelente monoambiente a estrenar en una de las mejores zonas de Palermo. Ubicado a sólo pasos de la estación Agüero del subte D que comunica con los principales centros comerciales, turísticos y gastronómicos. A tres cuadras del Alto Palermo Shopping y cercano a facultades y cines. El mismo cuente con, Living-comedor con cocina integrada. Anafe eléctrico 2 hornallas, altos y bajo mesadas. Mesada de granito blanco. Piso de porcelanatto. Balcón al frente, y un Baño completo. Posee amenities de lujo, amplias terrazas con dos piscinas climatizada, sum, gym , jacuzzi, lundry y seguridad 24hs. HAY MAS UNIDADES, CONSULTAR!!!! DIGNO DE VER!!! FGK PROPIEDADES. /; Santa Fe 2800 - Palermo - Capital Federal
apartment;Palermo;Capital Federal;-34.5927419;-58.406147;245000.0;USD;4322902.5;245000.0;75.0;51.0;3266.666666666666;4803.921568627451;;1.0;;http://www.properati.com.ar/15fhk_venta_departamento_palermo_balcon_gimnasio_hidromasaje_piscina_sum_terraza_luminoso_garage_amenities_estrenar_subte-linea-d_subte-linea-h_f-gk-propiedades_7ej;Excelente monoambiente a estrenar en una de las mejores zonas de Palermo. Ubicado a sólo pasos de la estación Agüero del subte D que comunica con los principales centros comerciales, turísticos y gastronómicos. A tres cuadras del Alto Palermo Shopping y cercano a facultades y cines. El mismo cuente con, Living-comedor con cocina integrada. Anafe eléctrico 2 hornallas, altos y bajo mesadas. Mesada de granito blanco. Piso de porcelanatto. Balcón al frente, y un Baño completo. Posee amenities de lujo, amplias terrazas con dos piscinas climatizada, sum, gym , jacuzzi, lundry y seguridad 24hs. HAY MAS UNIDADES, CONSULTAR!!!! DIGNO DE VER!!! FGK PROPIEDADES. /; Santa Fe 2800 - Palermo - Capital Federal
apartment;Palermo;Capital Federal;-34.5803723;-58.4143806;465000.0;USD;8204692.5;465000.0;159.0;140.0;2924.528301886793;3321.4285714285716;;4.0;6500.0;http://www.properati.com.ar/15fw1_venta_departamento_palermo_lafinur_3000_balcon_baulera_suite_lavadero_vestidor_dependencias_garage_placard_aire-acondicionado_doble-circulacion_subte-linea-d_estudio-lca;VENTA DEPARTAMENTO 5 AMBIENTES en PALERMOExcelente departamento de un piso en el barrio de Palermo. Cuenta con living, comedor diario grande , cocina muy amplia, hall de distribución con placard y balcón en L aterrazado. Un dormitorio en suite al frente con vestidor y dos dormitorios con placards. Otro baño completo.Doble circulación, aire acondicionado. Completamente equipado. Dependencia de servicio con baño, lavadero y baulera. Cochera.ABL $ 2400 AYSA $ 500 -  - ESTUDIO LCA;DEPARTAMENTO EN VENTA
apartment;Palermo;Capital Federal;-34.57154091;-58.4321322175;185000.0;USD;3264232.5;185000.0;36.0;33.0;5138.88888888889;5606.060606060605;;2.0;2500.0;http://www.properati.com.ar/15fwq_venta_departamento_palermo_baez_400_luminoso_subte-linea-d_cristian-bau-propiedades_4pq;Venta de Departamento 2 AMBIENTES  muy luminoso,en Duplex, en Palermo, Cañitas. Cuenta con cochera . Cuenta con cocina integrada, con barra Desayunadora, cuenta con dos Aires Acondicionados,  Balcón. Excelente distribución del espacio y la luz en doble Altura.-El valor de las expensas incluye AYSA.Cristian Bau  Av. del Libertdor 4594 - CABA -  - CRISTIAN BAU PROPIEDADES;DEPARTAMENTO EN VENTA
PH;Palermo;Capital Federal;-34.5845904;-58.4304664;110000.0;USD;1940895.0;110000.0;;;;;;1.0;;http://www.properati.com.ar/15g1j_venta_ph_palermo_godoy-cruz_2067_terraza_luminoso_mosna-inmobiliaria;Venta de Departamento 1 AMBIENTE en Palermo SohoEXCELENTE MONO AMBIENTE DIVIDIDO CON TERRAZA PROPIA DE 35 M².VISTA ABIERTA A PULMÓN DE MANZANA, MUY LUMINOSO. MODERNO. EL DORMITORIO ESTA SEPARADO  DEL LIVING COMEDOR LA UBICACIÓN ES MUY BUENA: A CUATRO CUADRAS DE AVENIDA SANTA FE EL INMUEBLE SE ENCUENTRA DESOCUPADO.LAS MEDIDAS SON A SOLO EFECTO ORIENTATIVAS, LAS MEDIDAS REALES SURGEN DEL TÍTULO DE PROPIEDADPara mas información comuníquese de lunes a viernes de 10 a 19 hs, sábados de 10 a 13 hs MOSNA InmobiliariaCiudad de la Paz 1721, 1mer piso.CABA  / e-mail:  Mat. 5647 de Arturo Mosna) -  - MOSNA INMOBILIARIA;PH EN VENTA
apartment;Palermo;Capital Federal;-34.589059000000006;-58.410881;375000.0;USD;6616687.5;375000.0;;137.0;;2737.2262773722628;6.0;4.0;;http://www.properati.com.ar/15gdb_venta_departamento_palermo_balcon_baulera_suite_hidromasaje_sotano_luminoso_lujoso_aire-acondicionado_subte-linea-d_re-max-acci-oacute-n;Corredor Responsable: Mariano Aufseher - CUCICBA 4251Contacto: María Fernanda Gutiérrez - MLS ID # 420251069-14Silencioso contrafrente, con vista abierta y muy luminoso - BAJISIMAS EXPENSAS Departamento de 4 ambientes ubicado Frente al Alto Palermo en piso 6°  con detalles de categoría, en excelente estado. LOS METROS DE PLANTA SON APROXIMADAMENTE ENTRE 100 Y 110 mts LOS METROS TOTALES SON 134 + balcon Se accede por la entrada principal a amplio living comedor con salida a balcón soleado y vista abierta a amplio pulmón de manzana. Tranquilo y silencioso por su orientación.  Barra desayunadora. Pisos entablonados de incienso plastificado . Cocina semi integrada ( CUCINA BELLA )  Hall de distribución que llevan a dos luminosos dormitorios orientados al oeste y al tercer dormitorio en suite con baño de mármol de carrara, vidrios esmerilados y gran Jacuzzi. Las paredes de los 3 dormitorios son enteladas y los pisos entablonados. Segundo baño completo con cabina duchadora, piso y pared de venecitas. Aire acondicionado en todos los ambientes. Agua caliente y calefacción central. Todos los ambientes son externos.  Entrada de servicio. Amplia baulera en sótano. Edificio muy bien mantenido  MUY BAJAS EXPENSAS, en los últimos meses oscilan entre $ 1.300 y $ 1.800 por mes incluyendo Aysa. El edificio cuenta con un IMPORTANTE LOCAL que esta ALQUILADO. Este alquiler se divide entre los propietarios, aplicando al pago de expensas. Esta renta CUBRE LA MAYORIA DE LOS GASTOS y en algunas ocasiones CUBRE EL TOTAL DE LAS EXPENSAS. La venta del departamento INCLUYE todos los derechos indivisos que tiene sobre el local.  Medidas Living - comedor  8 x 4,77  Hall de distribución  3,13 x 1,13  Dormitorio 3,63 x 3 Dormitorio 3,28 x 3,44 Dormitorio Principal 4,43 x 3,30  Baño con Jacuzzi 2,10 x 3,33 Baño 2,25 x 2,42 Cocina 3,40 x 2,80 Balcón 1,12 x 2,60   E?xpensas aproximadas al MES de Junio de 2017,   $ 1.700.-  ?Los metros ?aqui publicados ?son aproximados. Los reales surgen de la escritura. Esta publicidad respeta lo establecido en el art. 4 y 8? de la? ley 24.240    Para ver el video de la propiedad hacer click en el icono YOUTUBE o copiar este link https://youtu.be/OejFSxDOewU       ;Departamento 4 amb Alto Palermo
apartment;Palermo;Capital Federal;;;138000.0;USD;2434941.0;138000.0;;35.0;;3942.857142857143;;2.0;;http://www.properati.com.ar/15gpl_venta_departamento_palermo_luminoso_garage_subte-linea-d_imprenta;Venta - Departamento - Argentina, Buenos Aires, Capital Federal, Palermo - 1 Dormitorios - Con Cochera - Apto profesionalUbicación privilegiada, a 2  cuadras de Av Libertador y a 4 cuadras de Av Santa Fe. Edificio en torre todo  lateral luminoso. Baño y cocina completos. COCHERA FIJA CUBIERTA Cuadra con seguridad de clinica vecina.APTO PROFESIONAL / APTO CREDITO. - CUCICBA Mat. 1053;Departamento en Venta ubicado en Palermo
apartment;Palermo;Capital Federal;-34.5810409;-58.40622140000001;134000.0;USD;2364363.0;134000.0;34.0;30.0;3941.176470588234;4466.666666666667;;1.0;;http://www.properati.com.ar/15h9i_venta_departamento_palermo_gimnasio_parrilla_piscina_sauna_garage_amenities_achaval-cornejo_edw;Edificio Bulnes Tower, arquitecto Tiscornia, apto profesional, un año de antiguedad. Amplio ambiente lleno de luz, con gran ventanal en L y vista abierta,  excelentes materiales.Posee amenities, pileta, gimnasio, sauna. opcional cochera fija (u$s 35.000);Bulnes 2700
apartment;Palermo;Capital Federal;-34.5731105;-58.4224486;1080000.0;USD;19056060.0;1080000.0;199.0;191.0;5427.13567839196;5654.450261780105;;5.0;;http://www.properati.com.ar/15h9u_venta_departamento_palermo_balcon_suite_lavadero_piscina_sum_toilette_luminoso_sauna_dependencias_garage_losa-radiante_subte-linea-d_achaval-cornejo_edw;Semipiso. PP. Living y comedor a balcón aterrazado. Toilette, 3 dormitorios en suite.Gran Playroom. Muy buena zona de cocina, lavadero y dependencias. Super luminoso.Sum con gimasio sauna sala de reuniones pileta. COCHERA DOBLE nº15 (una atras de la otra).Los servicios son individuales por Losa radiante. Agua Central  Vigilancia 24hs.;Sinclair 3200 5° A
store;Palermo;Capital Federal;-34.5734848543;-58.4386236307;300000.0;USD;5293350.0;300000.0;;57.0;;5263.157894736842;;;;http://www.properati.com.ar/15iht_venta_local_palermo_garage_estrenar_subte-linea-d_grupo-galactica;Local a estrenar en Av. Cabildo entre Santos Dumont y Tte Benjamín Matienzo. 57m2.Cercanía con los barrios de Belgrano Colegiales y Las Cañitas. Cerca de las estaciones de Subte D: Ministro Carranza y Olleros.  ;Local Comercial a Estrenar en Palermo
